bw,delay,loss,queue,packet_loss_ratio,rtt,jitter,throughput
10,21.74479329363785,1,100,0,98.88,59.01327816686682,10.1
10,6.853701419321304,5,50,0,53.18,66.7548275407854,10.5
5,15.652086443578948,5,200,0,295.08,488.94429846353665,5.25
20,42.572809928783435,5,50,0,118.3,41.33182792957505,21.0
50,46.7784416415101,5,200,20,135.25,41.290636549545546,52.4
50,9.098283124280552,5,200,20,27.975,9.536727251351307,52.4
5,37.47213069837919,0,200,0,136.88,43.81063797755061,5.25
50,45.30593120189772,1,200,0,132.36,45.702166250627556,52.4
50,9.614257553394797,0,50,0,35.88,22.176383835062015,52.4
50,46.60836216144694,5,50,0,138.58,47.816649819911056,52.4
50,6.147918362782171,2,100,0,17.060000000000002,4.952575087769998,52.4
20,22.436874639382417,0,50,0,56.800000000000004,20.699879226700816,20.9
20,32.25825422191925,2,50,0,96.82000000000001,32.73510348234751,21.0
10,6.833463278512475,1,50,20,41.3,17.55828389488373,10.5
5,20.672934626339476,1,200,0,68.04,23.84938154334405,5.24
50,21.102398490884823,5,50,20,57.075,22.67441656728276,52.2
5,24.38986969211646,0,100,0,73.98,25.63390333133056,5.25
5,7.939242545388888,0,100,0,43.34,11.748957400552612,5.25
10,43.001467337677255,1,200,0,146.62,52.9869984052692,10.5
10,34.857485490565935,0,200,0,114.0,41.01871524072884,10.5
5,30.91709392821478,1,50,0,93.16,68.11430099472504,5.25
5,40.3504884619059,2,200,0,112.3,34.75197836095091,5.25
10,16.63610004956199,5,50,40,50.699999999999996,8.373768566183328,10.5
10,35.51901276602584,5,100,0,114.7,54.142497171815045,10.4
50,13.10567034433456,2,100,0,38.0,11.220294113792207,52.4
20,34.99661418404838,1,50,0,96.06,30.96147606300449,20.9
20,46.488277079649976,2,200,20,154.5,38.828683555673976,20.9
20,27.73322172972272,0,50,0,100.1,32.51122882943676,20.9
20,30.89827651661519,0,100,0,83.62,31.734003844456815,20.9
5,30.161905461224716,5,100,0,114.9,33.652043028618635,5.24
10,29.760720938117718,0,100,0,96.64,34.940635369151494,10.5
5,46.51216686130296,5,50,0,149.6,52.59562719466325,5.25
10,42.09549908726406,0,50,0,128.12,37.46694543194041,10.5
5,25.284679193795466,5,50,0,91.5,51.97566738388262,4.99
5,39.32543051574511,0,100,0,146.6,35.70434147271169,5.25
50,28.926781278648356,2,200,0,76.14,25.709103446055835,52.4
50,40.03577741744789,1,200,0,132.22,37.087086701438274,52.4
10,13.221063903711624,5,100,20,40.1,7.020446329590926,10.5
50,45.99742197303584,0,50,0,130.56,63.024304835515636,52.4
5,42.23174129766442,1,100,0,173.4,111.63915083876265,5.25
50,30.436119014753448,5,100,0,79.42,26.176554395107082,52.2
10,22.0581480887303,1,100,0,61.38,22.852724126458096,10.5
20,12.952961037038936,5,200,20,44.825,7.401520114138715,20.9
5,6.829480541689348,0,50,0,38.94,33.09694849982397,5.25
10,7.986066699110003,0,100,0,58.96,54.14492589338358,10.5
50,31.220569072113843,0,50,0,83.9,29.670439834960316,51.7
20,30.378953600253915,2,50,0,90.5,25.229942528670176,20.9
20,43.15490314240787,0,50,0,120.88,40.30970106562439,20.9
10,22.433656248154456,2,50,0,83.42,39.58727068136928,10.0
10,21.248139131656032,1,50,0,76.46000000000001,21.493208229578013,10.5
5,49.96052624739712,0,100,0,131.2,52.18907931742042,5.23
50,45.528362194973774,1,100,0,192.62,114.22246714197694,52.4
10,22.45846007264118,0,100,0,104.28,80.97442188740837,10.4
50,38.95503474385496,0,200,0,111.58,36.594289171945945,52.4
5,36.52146500293706,0,100,0,159.07999999999998,67.64219836758708,5.25
10,39.82048637509921,0,100,0,141.48,82.86517362559498,10.5
10,33.325239809746726,1,100,0,98.12,30.620369037619387,10.5
50,19.441597209782913,5,50,0,52.12,20.42368722831409,52.3
10,34.06126969362671,5,100,0,108.22,39.70739225887291,10.5
20,41.86460778578482,0,50,0,122.96,36.11935769085602,20.4
10,13.345272448782199,1,200,0,43.32,16.942756564384673,10.5
5,43.577788402963336,1,50,20,141.5,46.493727175466006,5.25
10,16.208808566679707,1,50,0,49.28,17.89027668874912,10.5
